site,region,transect,old_name,start_latitude,start_longitude,end_latitude,end_longitude,transect_distance_m,region_New,site_New,transect_New
AL,Alberton,4,AL-4,46.84033333,-64.0024,46.8411,-64.0017,100.62,Alberton,AL,4
AL,Alberton,5,AL-5,46.84851667,-64.00086667,46.8493,-64.0002,100.9,Alberton,AL,5
AL,Alberton,6,AL-6,46.84601667,-63.99425,46.8468,-63.9936,100.26,Alberton,AL,6
AL,Alberton,8,AL-8,46.8554,-63.9876,46.85466667,-63.98838333,101.09,Alberton,AL,8
AB1,Anse-Bleue,1,AB1-1,---,---,---,---,---,Anse-Bleue,AB,1
AB2,Anse-Bleue,1,AB2-1,---,---,---,---,---,Anse-Bleue,AB,51
AB1,Anse-Bleue,2,AB1-2,---,---,---,---,---,Anse-Bleue,AB,2
AB2,Anse-Bleue,2,AB2-2,---,---,---,---,---,Anse-Bleue,AB,52
AB1,Anse-Bleue,3,AB1-3,---,---,---,---,---,Anse-Bleue,AB,3
AB2,Anse-Bleue,3,AB2-3,---,---,---,---,---,Anse-Bleue,AB,53
AB1,Anse-Bleue,4,AB1-4,---,---,---,---,---,Anse-Bleue,AB,4
AB2,Anse-Bleue,4,AB2-4,---,---,---,---,---,Anse-Bleue,AB,54
AB1,Anse-Bleue,5,AB1-5,---,---,---,---,---,Anse-Bleue,AB,5
AB2,Anse-Bleue,5,AB2-5,---,---,---,---,---,Anse-Bleue,AB,55
AB1,Anse-Bleue,6,AB1-6,---,---,---,---,---,Anse-Bleue,AB,6
AB2,Anse-Bleue,6,AB2-6,---,---,---,---,---,Anse-Bleue,AB,56
AB1,Anse-Bleue,7,AB1-7,---,---,---,---,---,Anse-Bleue,AB,7
AB2,Anse-Bleue,7,AB2-7,---,---,---,---,---,Anse-Bleue,AB,57
AB1,Anse-Bleue,8,AB1-8,---,---,---,---,---,Anse-Bleue,AB,8
AB2,Anse-Bleue,8,AB2-8,---,---,---,---,---,Anse-Bleue,AB,58
AB1,Anse-Bleue,9,AB1-9,---,---,---,---,---,Anse-Bleue,AB,9
AB2,Anse-Bleue,9,AB2-9,---,---,---,---,---,Anse-Bleue,AB,59
AB1,Anse-Bleue,10,AB1-10,---,---,---,---,---,Anse-Bleue,AB,10
AB2,Anse-Bleue,10,AB2-10,---,---,---,---,---,Anse-Bleue,AB,60
AB1,Anse-Bleue,11,AB1-11,---,---,---,---,---,Anse-Bleue,AB,11
AB2,Anse-Bleue,11,AB2-11,---,---,---,---,---,Anse-Bleue,AB,61
AB1,Anse-Bleue,12,AB1-12,---,---,---,---,---,Anse-Bleue,AB,12
AB1,Anse-Bleue,13,AB1-13,---,---,---,---,---,Anse-Bleue,AB,13
AB2,Anse-Bleue,13,AB2-13,---,---,---,---,---,Anse-Bleue,AB,63
AB1,Anse-Bleue,14,AB1-14,---,---,---,---,---,Anse-Bleue,AB,14
AB2,Anse-Bleue,14,AB2-14,---,---,---,---,---,Anse-Bleue,AB,64
AB1,Anse-Bleue,15,AB1-15,---,---,---,---,---,Anse-Bleue,AB,15
AB2,Anse-Bleue,19,AB2-19,---,---,---,---,---,Anse-Bleue,AB,69
AB2,Anse-Bleue,20,AB2-20,---,---,---,---,---,Anse-Bleue,AB,70
AB2,Anse-Bleue,21,AB2-21,---,---,---,---,---,Anse-Bleue,AB,71
AB2,Anse-Bleue,22,AB2-22,---,---,---,---,---,Anse-Bleue,AB,72
AB2,Anse-Bleue,28,AB2-28,---,---,---,---,---,Anse-Bleue,AB,78
AB2,Anse-Bleue,29,AB2-29,---,---,---,---,---,Anse-Bleue,AB,79
AB1,Anse-Bleue,30,AB1-30,---,---,---,---,---,Anse-Bleue,AB,30
AB2,Anse-Bleue,35,AB2-35,---,---,---,---,---,Anse-Bleue,AB,85
AB2,Anse-Bleue,36,AB2-36,---,---,---,---,---,Anse-Bleue,AB,86
AB2,Anse-Bleue,37,AB2-37,---,---,---,---,---,Anse-Bleue,AB,87
AB2,Anse-Bleue,38,AB2-38,---,---,---,---,---,Anse-Bleue,AB,88
AB2,Anse-Bleue,39,AB2-39,---,---,---,---,---,Anse-Bleue,AB,89
AB2,Anse-Bleue,40,AB2-40,---,---,---,---,---,Anse-Bleue,AB,90
AB2,Anse-Bleue,41,AB2-41,---,---,---,---,---,Anse-Bleue,AB,91
CI1,Caraquet,1,CI1-1,---,---,---,---,---,Caraquet,CQ,1
CI2,Caraquet,1,CI2-1,---,---,---,---,---,Caraquet,CQ,5
CI3,Caraquet,1,CI3-1,---,---,---,---,---,Caraquet,CQ,10
I2,Caraquet,1,I2-1,---,---,---,---,---,Caraquet,CQ,14
I5,Caraquet,1,I5-1,---,---,---,---,---,Caraquet,CQ,20
I6,Caraquet,1,I6-1,---,---,---,---,---,Caraquet,CQ,25
I7,Caraquet,1,I7-1,---,---,---,---,---,Caraquet,CQ,29
I8,Caraquet,1,I8-1,---,---,---,---,---,Caraquet,CQ,33
